,rating_ratingValue,rating_worstRating,rating_bestRating,rating_alternateName,creativeWork_author_name,creativeWork_datePublished,creativeWork_author_sameAs,claimReview_author_name,claimReview_author_url,claimReview_url,claimReview_claimReviewed,claimReview_datePublished,claimReview_source,claimReview_author,extra_body,extra_refered_links,extra_title,extra_tags,extra_entities_claimReview_claimReviewed,extra_entities_body,extra_entities_keywords,extra_entities_author,related_links
0,3,1,5,Misleading,Multiple Sources,2021-07-28,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9FP3CE-1,Propolis throat spray treats coronavirus in the throat,2021-07-16,factcheck_afp,,"As Thailand's healthcare system struggled to cope with surging Covid-19 cases in July, multiple Facebook posts claimed a brand of throat spray could ""contain the infection"". The posts are misleading: health experts say the throat spray has not been proven to treat or cure Covid-19. The posts also shared false claims about other home remedies that experts say do not treat or cure the virus.The claim was shared here on Facebook on July 20, 2021.The post has been shared more than 15,000 times.The post's Thai-language caption translates in part as: ""The coronavirus stays in the throat for four days, before it enters the lungs. During this time, we will have symptoms such as itchy throat, dry throat, coughing or sore throat, increased temperature, weakened respiratory system, and the loss of taste.""During this time, you should use lime, vinegar, salt, strong alcohol, and mix them with warm water to rinse your throat. Drink warm water or use propolis extract throat spray to help reduce and contain the infection."" ""Propolis"" refers to a substance obtained from beehives that appears to work against bacteria, viruses, and fungi.A throat spray containing the extract is commercially available in Thailand under the name Propoliz -- approved by the kingdom's Food and Drug Administration as a sore throat remedy.The misleading post circulated online as the kingdom endured its worst Covid-19 wave, with hospitals buckling under the pressure of record daily infections, AFP reported. Similar claims were also shared in Facebook posts here, here, here, and here. These posts are misleading, according to multiple experts.Throat spray""There is not yet enough scientific evidence to use [propolis throat spray] for Covid-19 symptoms,"" Dr. Thira Woratanarat, an associate professor at the Department of Preventive and Social Medicine at Chulalongkorn University, told AFP on July 27.""The research requires more clinical trials.""While several studies have been conducted on the efficacy of propolis against Covid-19, they were done with small sample sizes, Dr. Thira said.""You have to be careful if they claim it has properties against Covid-19,"" he said.Jessada Denduangboripant, a professor at Chulalongkorn University's Department of Biology, told AFP that the claim propolis throat spray works against Covid-19 is ""an exaggeration"". ""Propolis is a natural substance which existed in beehives. It does not have enough power to treat Covid-19.""Home remediesAFP has previously debunked here, here and here claims that gargling various substances, drinking warm water or consuming alcohol can prevent or cure Covid-19 .The World Health Organization (WHO) states: ""If you have any symptoms suggestive of COVID-19, call your health care provider or COVID-19 hotline for instructions and find out when and where to get a test, stay at home for 14 days away from others and monitor your health.""If you have shortness of breath or pain or pressure in the chest, seek medical attention at a health facility immediately.""No evidenceThe claim that the coronavirus stays in the throat for four days is not supported by ""any evidence"", according to Dr. Thiravat Hemachudha, head of the Center for Emerging Infectious Diseases Health Science Center at Chulalongkorn University.""Each person's response to the infection is different that's why the severity of symptoms between us [is] not the same"", he told AFP.",,Thai social media users share misleading claim about 'Covid-19 throat spray',,,,,,
1,1,1,5,False,Multiple persons,2021-07-27,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9GF7PU-1,This photo shows a political rally for Asaduddin Owaisi in India,2021-07-18,factcheck_afp,,"A photo has been shared hundreds of times in multiple social media posts that claim it shows a large rally for an Indian Muslim politician during the pandemic. The claim is false: the photo shows an Islamic procession in Bangladesh in 2019.The image was shared in a Hindi-language tweet posted on July 19.The caption translates to English as: ""Huge crowd of a specific community gathered in UP’s Moradabad in Asaduddin Owaisi’s rally and here we are, entangled over BJP, BSP and SP. You people too should stop being in any delusion and think about your future"".""UP"" refers to India's most populous state, Uttar Pradesh.Asaduddin Owaisi is leader of the All India Majlis-e-Ittehadul Muslimeen (AIMIM) party and member of parliament for Hyderabad in India's southern Telangana state.  A screenshot of the misleading post taken on July 25, 2021The post emerged online after speculation about the AIMIM teaming up with other parties in a bid to defeat the ruling BJP in Uttar Pradesh's upcoming assembly elections in February 2022. The post also misleadingly suggests India's Muslims are permitted to gather for certain political events, while Hindus have been banned from gathering for religious festivals.The photo was posted with a similar claim here, here, and here on Facebook. However, the claim is false.A reverse image search on Google found the photo was published in this Facebook post on November 26, 2019. It was uploaded by photographer Faisal bin Latif in a post about a religious procession in the Bangladeshi city of Chattogram. A photo of the event shared by Faisal bin Latif on 26 November, 2019He also uploaded an album of photos showing the same event on photo-sharing website Flickr.The album's title reads: ""Jashney Julus, Miladunnabi, November 2019.”AFP found a similar video here on a Bengali-language YouTube channel showing a scene that corresponds with the image in the misleading posts.The video's title states that it shows the Miladun Nabi procession in Chattogram in November 2019.Miladun Nabi is an Islamic festival observed by Muslims as Prophet Mohammed’s birthday according to the Islamic calendar.In 2019, the festival was celebrated on November 10 in Bangladesh. Below is a screenshot comparison of the photo in the misleading post (L) and YouTube video's one-minute 17-second mark (R): Comparison of the photo in the misleading post (L) and YouTube videoThe same procession was also reported by Bengali news website Banglanews24.com on November 10, 2019.AFP found a similar structure pictured in the news story (L) with the YouTube video (R): Similarity between the image in the news story (L) with the YouTube video (R) snapshotAFP previously debunked posts sharing the same photo alongside a claim they showed the funeral procession of photojournalist Danish Siddiqui, who was killed while covering fighting between Afghan security forces and the Taliban.",,Bangladesh religious procession image shared in false posts about Indian political rally,,,,,,
2,1,1,5,False,Multiple sources,2021-07-27,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9F66BR-1,Consuming durian before or after Covid-19 vaccination can cause death,2021-06-22,factcheck_afp,,"Facebook users in Malaysia are sharing posts that warn against eating durian before or after receiving a Covid-19 jab because it can be ""fatal"". Some of the posts share a photo of a man who purportedly died a day after he was vaccinated because he ate the fruit. The claim is false. The Malaysian deputy health minister said the warning has no medical basis, while police told AFP a post-mortem examination found the man died from heart disease. The claim was shared on June 22, 2021, on Facebook here.The Chinese-language post reads: ""Tell family and friends not to eat durian before or after vaccination. The friend of a person in my garden was vaccinated, and died the next day after eating durian. It is necessary to know and better to be cautious. Life is precious, and it's a pity to lose life due to a moment of ignorance."" Screenshot of the misleading Facebook post taken on July 13, 2021The claim was also shared on Facebook in Chinese here and in Malaysian here.Some posts, including here, here and here, share a photo of a man wearing a pink T-shirt, claiming it shows the man who was vaccinated and purportedly died after consuming durian.However, the claims are false.""Medically speaking, no one has said that. Even in the medical books, it has never been raised that people should not eat durian after getting their vaccine. This is wrong,"" said Malaysian Deputy Health Minister Noor Azmi Ghazali, reported by local media here and here.Malaysia’s Ministry of Health (KKM) posted on June 23, 2021, rejecting the claim as ""false news"". Berita palsu. Jangan sebar atau berkongsi. pic.twitter.com/onVjuvhvy2 — KKMalaysia (@KKMPutrajaya) June 23, 2021 The statement was also shared on its official Facebook page here.The man in the photo was identified as Cheah Kum Seng , 49, who lost consciousness while buying food at a restaurant and was later pronounced dead at a hospital in Kuala Lumpur on June 21, 2021, according to local news reports here and here.In a media statement sent to AFP on July 26, 2021, Sentul district police chief, Assistant Commisioner Beh Eng Lai, said: ""A post-mortem examination was conducted on June 22, 2021, and the cause of death was 'ischemic heart disease'. The case is classified as sudden death.""",,Malaysian authorities rubbish posts linking 'Covid-19 vaccine death' to eating durian,,,,,,
3,3,1,5,Misleading,Multiple sources,2021-07-27,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9FM2DM-1,Make-A-Wish denies certain wishes to unvaccinated children,2021-06-28,factcheck_afp,,"Multiple social media posts shared in June 2021 claim a US charity that grants ""wishes"" to critically ill children will no longer reward them if they are unvaccinated against Covid-19. The claim is misleading: the posts shared an edited video from the charity's CEO in which he outlined vaccination requirements for rewards that involve air travel and large gatherings. The charity told AFP that its Covid-19 vaccine policy will not apply to children who have received an end-of-life prognosis.The misleading Facebook post about US charity Make-A-Wish was published here on June 28, 2021.""WE’VE [REACHED] A NEW LOW. I always wondered what level of madness was required before ordinary citizens would engage in ACTS OF PURE EVIL,"" the text below the image reads.""When Make-a-Wish forces terminally ill kids & their families to be injected with an experimental genetic agent otherwise they’ll discriminate against and refuse a dying child their last wish, even though the W.H.O recommends not injecting children - we have reached that point."" The post's caption reads: ""How low can humanity go?! Really low!! I recon (sic) there is lower tho (sic)...prove me wrong humans"". A screenshot of the post as of July 27, 2021.A YouTube video has been shared in the Facebook post.It is titled: ""Make-A-Wish will only grant certain wishes to fully vaccinated wish kids"". However, the video is no longer available on YouTube as the user's account has been terminated.Other instances of the claim appear on Facebook here and here, as well as on Twitter here and Telegram here.However, the claim is misleading.Edited videoA reverse image search of the archived version of the YouTube video in the misleading posts found this original video dated June 10, 2021.It features Make-A-Wish America CEO Richard Davis speaking about updates to the charity's Covid-19 policies.In March 2020, the charity postponed all ""wishes"" that involved major travel due to the pandemic.In the two-minute, 22-second video, Davis says all participants for ""wishes"" involving air travel within the US and large gatherings must be fully vaccinated from September 15, 2021.Davis' announcement can be seen below: “We respect everyone’s freedom of choice,” Davis says in the full video, in which he also acknowledges that some children may be too young or too ill to be vaccinated.“We can’t wait until Sept. 15, when we can expand the types of life-changing wishes we can grant.”Charity statementIn a June 28 statement on its website, the charity said it ""has not, does not and will not deny wishes to children who are not vaccinated.""""Since the beginning of the pandemic, Make-A-Wish has safely granted over 6,500 wishes to children and families – regardless of vaccination status. Make-A-Wish will continue to grant wishes to children who are not vaccinated,"" the statement reads.The vaccine policy does not apply to children who have received an end-of-life prognosis, according to the statement.The charity said it would not require anyone to get vaccinated in order to receive a wish.",,This video has been edited -- US charity says it will continue to grant 'wishes' to unvaccinated children,,,,,,
4,5,1,5,False,Multiple people,2021-07-27,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9GE6MH-1,"All Covid-19 hospital patients were vaccinated, except for one",2021-07-25,factcheck_afp,,"Multiple social media posts shared in July 2021 claim that all Covid-19 patients being treated in hospitals in the Australian state of New South Wales had been vaccinated. The claim is misleading: as of July 26, all of the hospitalised Covid-19 patients were unvaccinated except for one, the state's health authority told AFP.The misleading claim was published in this Instagram post on July 25, 2021.It reads: ""Vaccinated getting Covid??! Out of these Covid cases ALL ARE FULLY VACCINATED (two doses) EXCEPT ONE WHO ONLY HAD ONE DOSE. Why are the vaccinated getting Covid and the unvaccinated are not?! WAKE UP"". A screenshot of the misleading post as of July 26, 2021.The post circulated online following an announcement on July 25 that there were 141 patients being treated for Covid-19 in hospitals in New South Wales, including 43 people in intensive care.The video in the post features a portion of a press conference with Dr Jeremy McAnulty, an official at NSW Health, giving details on new Covid-19 cases.Other instances of the claim appear on Instagram here, here and here. A similar claim appeared here on Facebook. The claim is misleading.A spokesperson for NSW Health told AFP on July 26 that the claims were ""incorrect.""""All [patients in hospital] were unvaccinated save for one,"" the spokesperson said.The misleading claim circulated online after McAnulty misspoke in a press conference broadcast here live by ABC on July 25. At around the six-minute mark, he said: ""141 people are in hospital with Covid at present, and 43 are in intensive care, 18 of whom require ventilation ... all but one person are vaccinated, one person has received one dose of vaccine."" When asked to clarify his remark, McAnulty acknowledged that he had misspoken.At around the 34-minute mark, he clarified: ""Of the 43 patients in intensive care units, 42 have not been vaccinated. One person had a single dose of a Covid-19 vaccine.""",,Posts mislead on proportion of vaccinated Covid-19 victims in Australian state's hospitals,,,,,,
5,1,1,5,False,Hal Turner Radio Show,2021-07-27,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9GJ3LG-1,French president's entire security force resigned,2021-07-24,factcheck_afp,,"A French member of parliament and an American radio host claimed that Emmanuel Macron's entire security detail resigned to protest the French president's initiative imposing health passes to participate in many aspects of public life. This is false; the Republican Guard did not resign, and it is tasked with presidential palace security, not his direct physical safety.""Protective Detail of France President ALL Resign over COVID Restrictions; will no longer protect President Macron,"" reads the headline of a July 24, 2021 article on the website of the Hal Turner Radio Show, a conspiracy-oriented program AFP has fact-checked before. Below the headline, a photo shows members of the Garde Républicaine, or Republican Guard, an elite French army corps tasked with special missions. Screenshot of an online article taken on July 26, 2021""The Republican Guard, a security detail established to protect the President of France, have ALL resigned, and will no longer protect President Macron!"" the article says of the 2,800-strong force.The Covid-19 restrictions mentioned in the headline refer to a decree by Macron that required proof of Covid-19 vaccination or a negative test to be able to attend events or enter places with more than 50 people. The ""health pass"" will be extended to restaurants, cafes and shopping centers in August. This was formalized into law by the country's parliament on July 25, 2021, despite widespread protests against it.However, the Republican Guard did not resign in relation to this law, and is not tasked with the French president's immediate physical safety.The unit responsible for direct personal protection of the French head of state is the Groupe de sécurité de la présidence de la République, whose members hail from both the police and the Gendarmerie.The Republican Guard is a French army unit tasked with ""public safety missions and protocol representation,"" according to its official webpage. Its members are not in charge of the direct safety of the French president like the US Secret Service, but they indirectly play this role by ensuring the security of the Elysee Palace, where the president lives. A spokesperson for the Gendarmerie told AFP on July 26, 2021 that the Republican Guard ""is still"" performing its palace duties. The Gendarmerie is a branch of the French army tasked with law enforcement roles, to which the Republican Guard answers. On social media, neither the Garde Républicaine nor the Gendarmerie, nor any French media, mentioned a mass resignation of the force's members.The false claims regarding the Republican Guard began when Martine Wonner, an independent member of parliament in France, claimed in a video that the force no longer wished to protect Macron.Wonner is a Covid-skeptic who was part of the government's party before she was ousted due to her controversial stances.She also faced calls from her opposition party to quit that group after she urged people to lay siege to MPs who approved the health pass.Before the vaccine passport law can be applied, it must be approved by France's highest administrative authority, the Constitutional Council, which will vote on it on August 5.",,French president's security detail did not resign over Covid-19 bill,,,,,,
6,1,1,5,False,Multiple authors,2021-07-26,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9FR6XQ-1,Aborted foetus cells in Covid-19 mRNA vaccines,2021-07-15,factcheck_afp,,"A video shared hundreds of times on Facebook in South Africa and Zambia claims that mRNA Covid-19 vaccines contain cells taken from aborted human foetuses. The claim is false: the World Health Organization and the National Institute of Communicable Diseases (NICD) in South Africa told AFP Fact Check that Covid-19 vaccines do not contain cells from aborted foetuses or other human tissue.The three-minute clip has been shared more than 330 times since it was posted on Facebook on July 17, 2021.Besides including the claim that mRNA Covid-19 vaccines contain aborted human foetal matter, the video makes two other unsubstantiated claims: that the vaccines can alter a person’s DNA and that they can render people sterile. Screenshot of the false post, taken on July 20, 2021The clip, which was extracted from a longer video originally posted here on YouTube on February 5, 2021, features preacher Joshua Maponga interviewing guest Mike Southwood in a show dubbed “why Africans should not take vaccine (sic)”.The Zimbabwe-born Maponga lives in South Africa and is an author of several books and has a large following on social media. He also runs Galaxy Universal Network, a media production company in South Africa.Southwood — who makes the false and unsubstantiated claims during his interview — is the founder of the Unity Group in South Africa, which styles itself as a governance reform movement. According to media, Southwood is also the administrator of the #EndTheLockdownMzanzi group, which has been urging South Africans to defy Covid-19 lockdown laws. A shorter version of the clip was published here on Facebook in South Africa on July 15, 2021, and shared more than 600 times.How mRNA vaccines workPfizer/BioNTech and Moderna Covid-19 vaccines are made from messenger RNA. The two vaccines work by giving a “blueprint” of a part of the virus that the body can then recognise and fight when confronted by it later.The vaccines use tiny fat bubbles called lipid nanoparticles to encapsulate fragile mRNA molecules and the information they contain to protect them until they can be safely delivered into cells without being degraded by the body’s enzymes.  However, the claim made in the clip that the vaccines include aborted foetus cells is false. No material from aborted foetusesProfessor Penny Moore, from South Africa’s National Institute for Communicable Diseases (NICD), told AFP Fact Check that Covid-19 vaccines do not contain cells from aborted foetuses or any other human material.“They are produced through high-tech molecular biology approaches and in cultures in rigorously controlled laboratories,” said Moore.The World Health Organization (WHO) told AFP Fact Check that “the new mRNA vaccines, such as those developed by Pfizer and Moderna, are synthetic vaccines and do not use foetal cell lines in their production.”What are cell lines?According to the WHO, vaccines are made by growing cultures of the target virus or bacterium: “Viruses need to grow in cells and so vaccine viruses are often grown in eggs (such as the influenza vaccine) or in cell lines derived from mammals, including humans.”The cell lines that are used to grow the viruses originate from a primary culture of cells from an organ of a single animal that has been propagated repeatedly in a laboratory, often over many decades.AFP Fact Check has previously debunked social media posts claiming that Covid-19 vaccines contain MRC-5, which the posts claim are “aborted foetal cells and other DNA”.The best known human cell line is MRC-5, or Medical Research Council cell strain 5, which are cells used to grow viruses for vaccines against rubella, chickenpox and hepatitis A in laboratories. MRC-5 was originally derived from the lung tissue of an aborted foetus in the 1960s but has since been grown without recourse to foetal tissue.The History of Vaccines, an educational tool developed by the College of Physicians of Philadelphia, states that “in total, only two foetuses, both obtained from abortions done by maternal choice, have given rise to the human cell strains used in vaccine development”.The Johnson & Johnson Covid-19 vaccine — which is not an mRNA but a viral vector vaccine — used a human cell line developed from the retinal cells of a foetus aborted in 1985 in its early production stage. But, the WHO said, “no foetal material is present” in the final J&J Covid-19 vaccine product or any other vaccine that uses human cell lines in early production stages.A spokesperson for the Oxford Vaccine Group, an organisation that was involved in producing the AstraZeneca Covid-19 vaccine, told AFP Fact Check that during its development, they used HEK-293 cells.The HEK-293 cell line was originally cultivated from a foetus aborted in the Netherlands in the early 1970s. The NICD’s Moore added that human cell lines were used only in the early stages of the production of some vaccines. “For all vaccines that use cell lines during early production stages, all cells are removed during the purification process and the final vaccine product does not contain this material.”The WHO told AFP Fact Check that it is not aware of any vaccines currently being developed for Covid-19 that contain cell lines obtained from foetal tissue. mRNA Covid-19 vaccines do not alter people’s DNA The unsubstantiated claim that mRNA vaccines can modify human DNA has been widely rejected by scientists. AFP Fact Check has previously debunked the claim here and here.Matthew Miller, an associate professor with the Department of Biochemistry and Biomedical Science at McMaster University in Canada, was quoted in a previous AFP Fact Check from March 2021 as saying that “mRNA is the code for proteins. It does not alter the DNA of your cells. Indeed, your cells naturally make mRNA from DNA.”Barry Pakes, an assistant professor at the Dalla Lana School of Public Health at the University of Toronto, told AFP Fact Check in April 2021 that “the mRNA cannot be integrated into the human genome. We (humans) lack the enzymes to reverse transcribe mRNA to DNA”.The US Center for Disease Control and Prevention (CDC) also refutes the claim that Covid-19 vaccines can alter people’s DNA.“Covid-19 vaccines do not change or interact with your DNA in any way. Both mRNA and viral vector CovidD-19 vaccines deliver instructions (genetic material) to our cells to start building protection against the virus that causes Covid-19. However, the material never enters the nucleus of the cell, which is where our DNA is kept,” the organisation states on its website.Vaccines do not cause infertilityIn the video, Southwood claims that Covid-19 vaccines can cause infertility. “We believe that there are a lot of things in this vaccine that will render people sterile…”The CDC states on its website that “there is currently no evidence that any vaccines, including Covid-19 vaccines, cause fertility problems (problems trying to get pregnant)”.Kate White, an obstetrics and gynaecology professor at Boston School of Medicine, told AFP Fact Check in March 2021 that “there’s no vaccine in the world that can cause infertility”.Dasantila Golemi-Kotra, a microbiologist at York University, told AFP that “vaccine-induced antibodies against SARS-CoV-2 spike protein are unlikely to cross-react with the syncytin-1 or -2 in the body and lead to infertility”.Golemi-Kotra explained that the misinformation could be stemming from the fact that the anti-spike protein antibodies and the syncytin-1 protein of the placenta share a “very short amino acid region”.But this doesn’t mean that the immune system would attack the syncytin protein. The immune system can “recognise a surface in their target protein, which rarely is confined to a single short amino acid sequence,” she said.AFP Fact Check has debunked numerous claims about Covid-19 vaccines, available here.",,mRNA Covid-19 vaccines do not contain cells from aborted human foetuses,,,,,,
7,1,1,5,False,Jane Ruby and Stew Peters,2021-07-23,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9FM82U-1,Pfizer Covid-19 vaccine contains dangerous graphene oxide,2021-07-07,factcheck_afp,,"A video featuring a US pundit who claims the Pfizer-BioNTech Covid-19 vaccine is dangerous because it contains the nanoparticle graphene oxide has been watched more than a million times on social media. But the claims are based on a study whose methodology experts have questioned, Pfizer said the substance is not used in the manufacturing of its shot, and researchers told AFP there is no evidence graphene oxide is used in any vaccines currently on the market.""BREAKING DISCOVERY! The ACTUAL CONTENTS Inside Pfizer Vials EXPOSED!"" says text promoting a segment from the ""Stew Peters Show"" on Canadian video sharing platform Rumble.Peters discusses the Pfizer-BioNTech vaccine with Jane Ruby -- a self-described ""health economist and New Right political pundit"" whom AFP has fact-checked before. Screenshot taken on July 22, 2021 of a video from the Stew Peters Show shared on RumbleRuby claims that she read an English translation of the Spanish research that shows the Pfizer-BioNTech mRNA vaccine is dangerous because it contains graphene oxide.Graphene oxide is a derivative of graphene, which has been reported to have antibacterial and antiviral properties. Graphene is super strong, ultra thin and has potential applications in a range of industries.""It's virtually 99.99 percent graphene oxide,"" Ruby says of the shot, while also claiming the substance is a ""poison"" and that it ""destroys literally everything in the cell.""Clips from the segment can also be found on Facebook, Instagram, and the video-sharing platform BitChute.It is part of a torrent of inaccurate claims about vaccines that have proliferated across the internet as countries around the world seek to immunize their populations against Covid-19.The same claim was amplified by GlobalResearch.ca, a Canadian website that the US State Department has described as ""deeply enmeshed in Russia's broader disinformation and propaganda ecosystem."" But the ingredients of all the Covid-19 vaccines authorized for use in the US and Canada (Pfizer-BioNTech, Moderna, Johnson & Johnson and AstraZeneca) are publicly listed and do not include graphene oxide.Pfizer spokeswomanDervila Keane confirmed to AFP on July 8, 2021 that ""graphene oxide is not used in the manufacture of the Pfizer-BioNTech Covid-19 vaccine.""Spanish studyIn the video, Ruby is referencing a Spanish study published by Dr Pablo Campra at the end of June. The study was not published in a scientific journal, and has not been subjected to peer review.In it, Campra says that Ricardo Delgado requested the study. Delgado is the founder of La Quinta Columna (Fifth Column), a group that has spread misleading information about masks and PCR tests. Their claims about graphene in Covid-19 shots -- including that it generates electromagnetic properties in humans -- were debunked by AFP Factual in early June.To conduct the study, Campra examined a single sample of the Pfizer-BioNTech vaccine using optical microscopy and transmission electron microscopy (TEM). He then compared the images with those in other scientific literature.He said he found ""solid evidence of the probable presence of graphene derivatives"". Ester Vazquez, an expert in graphene health and safety who works with the European Commission's Graphene Flagship research group, told AFP on July 13 that she had read the study and found it ""rather inconclusive.""She said that microscopy is not an adequate method to study the presence of graphene or graphene oxide.""The tests carried out are insufficient to characterize graphene. It only shows some microscopy images that resemble pictures of graphene and graphene oxide in the literature. However, this is far from scientific proof -- graphene identification would require further analysis using other techniques,"" Vazquez said.Contacted by AFP about the study, Campra said on July 14: ""Our finding is that 99 percent of UV absorbance does not come from RNA, and its signal is compatible with graphene. But, many other substances show the same signal. We found microscopic evidence of graphene sheets, but further spectroscopic evidence is needed to confirm this structure.""Campra, who teaches at the University of Almeria, said that the results and conclusions of his report ""do not imply any institutional position"" of the school.The university issued a statement on July 2 on Twitter distancing itself from the study -- which it called ""unofficial"" -- saying it used methodology that lacked transparency.The methodology of the study was also questioned in a fact check by Health Feedback, a network of scientists, which concluded that Campra did not adhere to ""traceability"" protocols. This leaves the origin of his sample unclear, and makes it impossible to know if it was contaminated during the investigation process.Graphene in vaccinesProfessor Hong Byung-hee, an expert in nanomaterials at Seoul National University, told AFP for another fact-check on July 19 that ""graphene is being tested for biomedical purposes, including for vaccines, but these applications are still in an experimental phase and a long wait is expected before they become commercially available following clinical trials.""Graphene oxide is being studied in vaccines as a possible adjuvant, or ingredient to help the shot trigger stronger immune response. It was recently used as an adjuvant in the investigation of an intranasal vaccine against influenza, developed by the Institute for Biomedical Sciences at Georgia State University, in the United States. This vaccine has only been tested in mice and cell culture.Dr Park Jong-bo, a researcher at Biographene, a company that develops graphene-based medicine, also confirmed on July 20 that ""no vaccines on the market (are) based on graphene oxide.""Vaccines currently in use are ""comprised of phospholipid layers, peptides or nucleic acids, and graphene oxide is not part of these categories,"" Park said.AFP Fact Check has debunked a series of inaccurate claims about vaccines, available in English here.",,Pfizer-BioNTech Covid-19 vaccine does not contain dangerous ingredient,,,,,,
8,1,1,5,False,Joe Biden,2021-07-23,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9FR7KY-1,Vaccinated people won't get Covid-19,2021-07-21,factcheck_afp,,"US President Joe Biden claimed during a CNN town hall that vaccinated people will not get Covid-19. This is false; despite the high efficacy of the shots, infections still occur among the fully vaccinated population, the US Centers for Disease Control and Prevention (CDC) says.""You're not gonna get Covid if you have these vaccinations,"" Biden said during the July 21, 2021 event, which came as the Covid-19 pandemic is again surging in the United States, propelled by the highly contagious Delta variant.  US President Joe Biden (L) participates in a CNN Town Hall meeting hosted by Don Lemon (R) at Mount St. Joseph University in Cincinnati, Ohio, July 21, 2021 ( AFP / Saul Loeb)But Biden's claim is inaccurate: the vaccines are very effective, but cases among vaccinated people are possible.The CDC said that as of July 12, it had received reports of 5,492 patients with Covid-19 ""breakthrough"" infections being hospitalized or dying, out of a total of more than 159 million fully vaccinated people in the United States.""Covid vaccines are highly effective in preventing infection and even more effective in preventing the serious illness that results in hospitalization and death,"" but no vaccine is 100 percent effective, Tom Skinner, senior public affairs officer at the CDC, told AFP on July 23. During a briefing at the White House on July 22, Press Secretary Jen Psaki addressed a reporter's question regarding the president's remarks on vaccination, saying that vaccinated people were ""largely protected.""""That was the point he was trying to make last night,"" she said.During the town hall, Biden urged Americans to get vaccinated. ""It's really kind of basic,"" he said, at a time when the US vaccination rate has significantly slowed.AFP Fact Check has debunked numerous other inaccurate claims related to Covid-19 and vaccines.July 26, 2021 This story was updated to correct the spelling of exaggerated in the headline.",,Joe Biden exaggerated Covid-19 vaccine efficacy,,,,,,
9,5,1,5,False,Multiple people,2021-07-23,,factcheck_afp,,https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9FL9LJ-3,Aerial footage of an anti-lockdown protest in Greece in 2021,2021-07-16,factcheck_afp,,"As thousands took to the streets in Greece to protest new coronavirus measures, social media posts shared what they claimed to be footage of the demonstration. However, the claim is false; the video shows a protest in Athens in January 2019 against a controversial agreement to rename Macedonia.""Greece Anti Youth [vaccination] Rally. An aerial view, I'd say from these images, the People have had a gutful,"" reads a Facebook post published on July 16, 2021.The video shared alongside the post shows a large demonstration, with many people displaying Greek flags. A screenshot of the misleading Facebook post as of July 22, 2021.The same video was widely shared on social media alongside similar claims, including here and here on Facebook, as well as on Instagram and Twitter.Thousands of people gathered on July 14 in central Athens to protest against new virus measures, after Prime Minister Kyriakos Mitsotakis announced mandatory Covid-19 vaccination for all health workers and people entering closed venues such as bars, cinemas and theatres. However, the claim is false. The video in fact shows a different protest in the Greek capital in January 2019, many months before the first Covid-19 cases were reported.A Google reverse image search of keyframes from the video led to this YouTube video from January 21, 2019 about Greeks protesting an agreement to rename Macedonia, now known as North Macedonia.The title of the video reads in Greek: ""Video III - Demonstration for Macedonia. Syntagma Square, 20/01/2019"". Thousands demonstrated in Athen's central Syntagma Square in Athens on January 20, 2019 against Greece's deal with Macedonia that saw it renamed to the Republic of North Macedonia.Macedonia is a former Yugoslav republic, but for most Greeks, Macedonia is the name of their history-rich northern province made famous by Alexander the Great's conquests.Below is a comparison between the video in the misleading post (L) and the YouTube video at 0:19 (R): Similar aerial footage has also been published here in a report about the same demonstration by Greek newspaper Proto Thema on January 20, 2019.The Greek article's headline reads: ""The big rally for Macedonia in 20 photos"".The article translates to English in part: ""A gathering of different ages took place in Syntagma [the square in front of the Greek parliament] in the big march for Macedonia. From all over Greece, citizens were present responding to the invitation of macedonian unions and associations against the Prespa agreement.""Below is a screenshot comparison between the video in the misleading post (L) and a photo published in the Proto Thema report(R):",,This video shows protesters rallying against a deal to rename Macedonia in 2019,,,,,,
