,rating_ratingValue,rating_worstRating,rating_bestRating,rating_alternateName,creativeWork_author_name,creativeWork_datePublished,creativeWork_author_sameAs,claimReview_author_name,claimReview_author_url,claimReview_url,claimReview_claimReviewed,claimReview_datePublished,claimReview_source,claimReview_author,extra_body,extra_refered_links,extra_title,extra_tags,extra_entities_claimReview_claimReviewed,extra_entities_body,extra_entities_keywords,extra_entities_author,related_links
0,,,,False,"""Rohan नाशिककर""",,,Vishvanews,,https://www.vishvasnews.com/english/viral/fact-check-viral-newspaper-clipping-spreading-communal-tensions-is-fake/,"""Muslims should never hire Buddhists, SC ST said Maulana Jafar Sheikh""",2021-7-16,Vishvanews,"Ankita Deshkar,Pallavi Mishra","""Viral image stating that a Maulana asked to not trust Buddhists is fake.""","""['https://twitter.com/ROHANM1508/status/1414143776583393281', 'https://web.archive.org/web/20210715130319/https://twitter.com/ROHANM1508/status/1414143776583393281', 'http://www.fodey.com']""","""Fact check: Viral newspaper clipping spreading communal tensions is fake""","""['Buddhist', 'Maulana', 'Nagpur', 'Viral newspaper clipping']""","""[]""","""[]""",,,
1,,,,False,"""Facebook user Armaan Pathan""",,,Vishvanews,,https://www.vishvasnews.com/english/politics/fact-check-viral-picture-of-chief-minister-yogi-adityanath-and-mukesh-ambani-is-edited/,"""First thing is it is almost impossible to build a Ram temple because there is sand under that land..! The second thing is that even if it is ever built, it will be less of a temple and more of Ambani's hotel. I am sorry but it will be only a means of earning for the capitalists..!""",2021-7-13,Vishvanews,"Ashish Maharishi,Urvashi Kapoor","""Vishvas News investigated the viral post and found that the viral photo of Yogi Adityanath and Mukesh Ambani is edited and has been created by editing two different pictures.""","""['https://perma.cc/D9WT-LAW2', 'https://t.co/v8KPCMpatB']""","""Fact Check: Viral picture of Chief Minister Yogi Adityanath and Mukesh Ambani is edited""","""['Mukesh Ambani', 'Yogi Adityanath']""","""[]""","""[]""",,,
2,,,,False,"""Priyanka Gandhi Fan Club""",,,Vishvanews,,https://www.vishvasnews.com/english/politics/fact-check-board-showing-text-stating-bjp-leaders-banned-from-entering-bihars-jagdishpur-is-fake/,"""BJP members are strictly forbidden in Ugna Jagdishpur village of Bhojpur, Bihar""",2021-7-9,Vishvanews,"Urvashi Kapoor,ameesh rai","""Vishvas News investigated and found that three years ago, a board installed in Kachheda Warsabad, Greater Noida has been tampered with and has been shared as of Ugna Jagdishpur village of Bhojpur, Bihar. The text stating: ‘if BJP people enter, their legs will be broken; wasn’t written on the actual board. The post claiming to be from Jagdishpur in Bhojpur, Bihar is fake.""","""['https://www.facebook.com/groups/953856218150698/posts/1616448281891485/', 'https://archive.md/wip/WgpJj', 'https://www.nationalheraldindia.com/india/bjp-members-are-not-allowed-inside-says-a-board-outside-greater-noida-village', 'https://indianexpress.com/article/cities/delhi/bjp-unwelcome-says-board-outside-a-greater-noida-village-5424417/']""","""Fact Check: Board showing text stating BJP leaders banned from entering Bihar’s Jagdishpur is fake""","""['Fact Check', 'fake news']""","""[]""","""[]""",,,
3,,,,Misleading,"""सोन चिरैया""",,,Vishvanews,,https://www.vishvasnews.com/english/politics/fact-check-viral-video-of-lady-teaching-tapping-exercises-is-not-of-tata-memorial-hospital-viral-claims-are-misleading/,"""Tapping video by Tata Memorial Hospital""",2021-7-5,Vishvanews,"Ankita Deshkar,Pallavi Mishra","""The video attributed to Tata Memorial Hospital belongs to The Perfect Health, Hyderabad. Viral claim is misleading.""","""['https://www.facebook.com/1664015106986723/posts/4103074039747472/?sfnsn=wiwspmo', 'https://web.archive.org/web/20210705084647/https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F1664015106986723%2Fposts%2F4103074039747472%2F%3Fsfnsn%3Dwiwspmo', 'https://www.facebook.com/watch/Mohinuddin-Qazi-276198439711634/', 'https://www.facebook.com/entireindia/videos/239000471369663', 'https://www.facebook.com/watch/The-Perfect-Health-Hyderabad-105780008004989/', 'http://www.omsairamperfecthealth.com/', 'https://omsairamperfecthealth.com/index.php/home/about#manisha', 'https://www.facebook.com/plugins/video.php?height=476&href=https%3A%2F%2Fwww.facebook.com%2F105780008004989%2Fvideos%2F1203616273386478%2F&show_text=false&width=267&t=0']""","""Fact Check: Viral video of lady teaching tapping exercises is not of Tata Memorial Hospital, viral claims are misleading""","""['Acupressure', 'health fact check', 'Hyderabad', 'Mumbai', 'tata memorial hospital']""","""[]""","""[]""",,,
4,,,,False,"""Rohan नाशिककर""",,,Vishvanews,,https://www.vishvasnews.com/english/viral/fact-check-viral-newspaper-clipping-spreading-communal-tensions-is-fake/,"""Muslims should never hire Buddhists, SC ST said Maulana Jafar Sheikh""",2021-7-16,Vishvanews,,"""Viral image stating that a Maulana asked to not trust Buddhists is fake.""","""['https://twitter.com/ROHANM1508/status/1414143776583393281', 'https://web.archive.org/web/20210715130319/https://twitter.com/ROHANM1508/status/1414143776583393281', 'http://www.fodey.com']""","""Fact check: Viral newspaper clipping spreading communal tensions is fake""","""['Buddhist', 'Maulana', 'Nagpur', 'Viral newspaper clipping']""",,,,,
5,,,,False,"""Zohaib Ahmad""",,,Vishvanews,,https://www.vishvasnews.com/english/society/fact-check-the-person-reciting-the-quran-in-this-video-is-not-footballer-ronaldo-but-his-doppelganger/,"""Cristiano Ronaldo visit masjid to reading Quran mash allah.""",2021-7-10,Vishvanews,"Pallavi Mishra,Umam Noor","""We found in our investigation that this claim is fake. The person seen in the video is not Cristiano Ronaldo but his lookalike.""","""['https://www.facebook.com/100009976113025/videos/775380379821970', 'https://www.facebook.com/100015194317305/videos/1174516196398180', 'https://www.facebook.com/permalink.php?story_fbid=229921812304626&id=106945921268883', 'https://web.archive.org/save/https://www.facebook.com/permalink.php?story_fbid=229921812304626&id=106945921268883', 'https://www.youtube.com/watch?v=CNBU2dG3yDU', 'https://www.thesun.co.uk/sport/9749556/cristiano-ronaldo-lookalike-construction-worker/']""","""Fact Check: The person reciting the Quran in this video is not footballer Ronaldo, but his doppelganger""","""['cristiano ronaldo']""","""[]""","""[]""",,,
6,,,,False,"""Arvind Taral""",,,Vishvanews,,https://www.vishvasnews.com/english/society/fact-check-viral-video-of-monkey-hugging-an-old-women-is-from-rajasthan-not-maharashtra/,"""Video of monkey hugging old lady from Maharashtra""",2021-7-9,Vishvanews,"Ankita Deshkar,Pallavi Mishra","""Vishvas News conducted a fact check on the video of a monkey hugging an old lady going viral claiming to be from Maharashtra. However, the video was found to be from Phalodi, Rajasthan. The name of the lady too is not Bhdsale but, Bhawari Devi""","""['https://www.facebook.com/arvind.taral1/posts/5982508755123253', 'http://web.archive.org/web/20210709095759/https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Farvind.taral1%2Fposts%2F5982508755123253', 'https://www.india.com/viral/viral-video-of-langur-hugging-dadi-is-going-viral-video-monkey-hugs-granny-internet-loves-it-watch-hanuman-video-4762952/', 'https://www.youtube.com/embed/a5H6O6EctIQ?feature=oembed']""","""Fact Check: Viral video of monkey hugging an old women, is from Rajasthan not Maharashtra""","""['Maharashtra', 'Monkey', 'Rajasthan', 'viral video']""","""[]""","""[]""",,,
7,,,,Misleading,"""सोन चिरैया""",,,Vishvanews,,https://www.vishvasnews.com/english/politics/fact-check-viral-video-of-lady-teaching-tapping-exercises-is-not-of-tata-memorial-hospital-viral-claims-are-misleading/,"""Tapping video by Tata Memorial Hospital""",2021-7-5,Vishvanews,,"""The video attributed to Tata Memorial Hospital belongs to The Perfect Health, Hyderabad. Viral claim is misleading.""","""['https://www.facebook.com/1664015106986723/posts/4103074039747472/?sfnsn=wiwspmo', 'https://web.archive.org/web/20210705084647/https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F1664015106986723%2Fposts%2F4103074039747472%2F%3Fsfnsn%3Dwiwspmo', 'https://www.facebook.com/watch/Mohinuddin-Qazi-276198439711634/', 'https://www.facebook.com/entireindia/videos/239000471369663', 'https://www.facebook.com/watch/The-Perfect-Health-Hyderabad-105780008004989/', 'http://www.omsairamperfecthealth.com/', 'https://omsairamperfecthealth.com/index.php/home/about#manisha', 'https://www.facebook.com/plugins/video.php?height=476&href=https%3A%2F%2Fwww.facebook.com%2F105780008004989%2Fvideos%2F1203616273386478%2F&show_text=false&width=267&t=0']""","""Fact Check: Viral video of lady teaching tapping exercises is not of Tata Memorial Hospital, viral claims are misleading""","""['Acupressure', 'health fact check', 'Hyderabad', 'Mumbai', 'tata memorial hospital']""",,,,,
8,,,,False,"""Chandrashekhar Chandorkar""",,,Vishvanews,,https://www.vishvasnews.com/english/viral/fact-check-the-video-clip-going-viral-in-the-name-of-savarkar-is-not-original/,"""Rare original video of Savarkar""",2021-6-24,Vishvanews,"Ankita Deshkar,Pallavi Mishra","""Vishvas News in its investigation found out that, the video going viral stating that the video is a rare video of Vinayak Damodar Savarkar is actually a documentary by the Government of India.""","""['https://www.facebook.com/C.V.CHANDORKAR/videos/4366588343373068/', 'https://web.archive.org/web/20210623091854/https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FC.V.CHANDORKAR%2Fvideos%2F4366588343373068%2F', 'https://filmsdivision.org/shop/veer-savarkar-l-v', 'https://www.youtube.com/embed/3TMykYkvlzA?feature=oembed']""","""Fact-check: The video clip going viral in the name of Savarkar is not original""","""['Savarkar', 'Veer Savarkar', 'Viral Claim', 'Viral clip']""","""[]""","""[]""",,,
9,,,,False,"""Becci Greene""",,,Vishvanews,,https://www.vishvasnews.com/english/world/fact-check-this-viral-screenshot-of-bbcs-breaking-plate-is-edited-2/,"""This is how your media lie to you. The picture on the left is what actually happened. Hundreds of thousands of protesters that brought central London to a standstill. The picture on the right is how the BBC would report it. But as usual they are silent? No reports on any of the MSM. What don’t they want you to know? Feel free to see through the lies at any time. What else are they lying about??""",2021-6-10,Vishvanews,"Pallavi Mishra,Urvashi Kapoor","""Vishvas News investigated and found the claim to be false. The BBC screenshot shared in the viral post is edited.""","""['https://archive.fo/wip/8rNXd', 'https://www.youtube.com/watch?v=GmJkKqlICTc', 'https://twitter.com/vicderbyshire/status/1399727854577930242', 'https://t.co/0NEUTj2t9p', 'https://web.archive.org/web/20210601094422/https://twitter.com/bel_b30/status/1399663026027040769', 'https://www.theguardian.com/world/2021/may/29/anti-vaccine-passport-protesters-occupy-westfield-mall-in-london', 'https://www.youtube.com/embed/GmJkKqlICTc?feature=oembed']""","""Fact Check: This Viral Screenshot of BBC’s Breaking Plate Is Edited""","""['Fact Check', 'London']""","""[]""","""[]""",,,
